,company_name,location,classification,revenue
3074,,"MEMPHIS, TN",Nonmonetary Support N.E.C.,"$4,123,289"
3075,,"HERMITAGE, TN",Education N.E.C.,
3076,,"MARYVILLE, TN",Educational Services and Schools - Other,"$5,283,927"
3077,,"NASHVILLE, TN",Education N.E.C.,
3078,,"CORDOVA, TN",Fund Raising and/or Fund Distribution,
3079,,"DICKSON, TN",Nonmonetary Support N.E.C.,
3080,,"ROCK ISLAND, TN","Scholarships, Student Financial Aid Services, Awards",
3081,,"FRANKLIN, TN",Education N.E.C.,
3082,,"DANDRIDGE, TN",Parent/Teacher Group,"$63,519"
3083,,"FRANKLIN, TN","Scholarships, Student Financial Aid Services, Awards",
3084,,"OOLTEWAH, TN",Educational Services and Schools - Other,
3085,,"CEDAR HILL, TN",Parent/Teacher Group,
3086,,"JOHNSON CITY, TN","Elementary, Secondary Education, K - 12","$45,899"
3087,,"SHADY VALLEY, TN","Scholarships, Student Financial Aid Services, Awards",
3088,,"KNOXVILLE, TN","Graduate, Professional Schools (Separate Entities)","$27,596,664"
3089,,"BRENTWOOD, TN",Parent/Teacher Group,"$67,178"
3090,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
3091,,"FRANKLIN, TN","Student Sororities, Fraternities",
3092,,"MT PLEASANT, TN","Scholarships, Student Financial Aid Services, Awards","$13,339"
3093,,"UNION CITY, TN","Scholarships, Student Financial Aid Services, Awards",
3094,,"NASHVILLE, TN",Parent/Teacher Group,"$316,699"
3095,,"NASHVILLE, TN","Student Sororities, Fraternities",
3096,,"MURFREESBORO, TN","Student Sororities, Fraternities",
3097,,"CLARKSVILLE, TN",Single Organization Support,
3098,,"MEMPHIS, TN",Alumni Associations,
3099,,"MEMPHIS, TN","Kindergarten, Preschool, Nursery School, Early Admissions",
3100,,"MEMPHIS, TN",Educational Services and Schools - Other,
3101,,"COLUMBIA, TN",Specialized Education Institutions,"$10,828,649"
3102,,"KINGSPORT, TN",Educational Services and Schools - Other,"$2,990"
3103,,"SWEETWATER, TN","Adult, Continuing Education",
3104,,"MURFREESBORO, TN","Scholarships, Student Financial Aid Services, Awards",
3105,,"KNOXVILLE, TN","Scholarships, Student Financial Aid Services, Awards","$26,376"
3106,,"KNOXVILLE, TN","Graduate, Professional Schools (Separate Entities) (B54I)",
3107,,"KNOXVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
3108,,"COVINGTON, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$460,606"
3109,,"SPRINGFIELD, TN",Parent/Teacher Group,
3110,,"RIPLEY, TN",Alumni Associations,
3111,,"MEMPHIS, TN","Adult, Continuing Education",
3112,,"LAKELAND, TN",Parent/Teacher Group,
3113,,"LAKELAND, TN",Fund Raising and/or Fund Distribution,
3114,,"MEMPHIS, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$26,527,956"
3115,,"MEMPHIS, TN",Educational Services and Schools - Other,"$140,642"
3116,,"LEBANON, TN",Education N.E.C.,
3117,,"LEBANON, TN",Single Organization Support,
3118,,"MEMPHIS, TN",Alumni Associations,"$1,921"
3119,,"MEMPHIS, TN","Student Services, Organizations of Students","$428,944"
3120,,"SPRING CITY, TN",Single Organization Support,
3121,,"NEWPORT, TN",Libraries,
3122,,"GOODLETTSVLLE, TN",Libraries,
3123,,"MEMPHIS, TN","Adult, Continuing Education",
3124,,"NASHVILLE, TN","Adult, Continuing Education",
3125,,"OAK RIDGE, TN",Parent/Teacher Group,
3126,,"MEMPHIS, TN",Educational Services and Schools - Other,
3127,,"MEMPHIS, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$175,000"
3128,,"LOUISVILLE, TN",Parent/Teacher Group,
3129,,"JONESBOROUGH, TN","Primary, Elementary Schools",
3130,,"MEMPHIS, TN",Research Institutes and/or Public Policy Analysis,
3131,,"CHATTANOOGA, TN",Parent/Teacher Group,
3132,,"LOUDON, TN","Student Services, Organizations of Students","$149,767"
3133,,"BIG SANDY, TN","Scholarships, Student Financial Aid Services, Awards",
3134,,"JONESBOROUGH, TN","Scholarships, Student Financial Aid Services, Awards",
3135,,"ANTIOCH, TN","Scholarships, Student Financial Aid Services, Awards",
3136,,"LUTTRELL, TN",Parent/Teacher Group,
3137,,"LEBANON, TN",Education N.E.C.,
3138,,"MEMPHIS, TN",Specialized Education Institutions,
3139,,"ARLINGTON, TN","Primary, Elementary Schools",
3140,,"MCMINNVILLE, TN",Single Organization Support,"$74,713"
3141,,"MEMPHIS, TN","Adult, Continuing Education",
3142,,"NASHVILLE, TN",Community or Junior Colleges,"$1,628,893"
3143,,"TOWNSEND, TN",Libraries,
3144,,"SELMER, TN","Scholarships, Student Financial Aid Services, Awards",
3145,,"MARYVILLE, TN","Primary, Elementary Schools","$45,829"
3146,,"MARYVILLE, TN",Parent/Teacher Group,
3147,,"MARYVILLE, TN",Parent/Teacher Group,
3148,,"BARTLETT, TN","Student Services, Organizations of Students",
3149,,"MURFREESBORO, TN",Educational Services and Schools - Other,"$78,500"
3150,,"CHATTANOOGA, TN","Elementary, Secondary Education, K - 12","$79,356,942"
3151,,"MCEWEN, TN",Parent/Teacher Group,
3152,,"MURFREESBORO, TN",Single Organization Support,"$64,909"
3153,,"ENGLEWOOD, TN",Nonmonetary Support N.E.C.,
3154,,"KNOXVILLE, TN",Parent/Teacher Group,
3155,,"ENGLEWOOD, TN","Scholarships, Student Financial Aid Services, Awards",
3156,,"LA VERGNE, TN",Education N.E.C.,
3157,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12 (B29)","$2,579,655"
3158,,"MEMPHIS, TN",Nonmonetary Support N.E.C.,
3159,,"CORDOVA, TN","Student Sororities, Fraternities","$166,216"
3160,,"MEMPHIS, TN","Scholarships, Student Financial Aid Services, Awards",
3161,,"MEMPHIS, TN",Alliance/Advocacy Organizations,"$246,826"
3162,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12 (B29)","$3,378,082"
3163,,"MEMPHIS, TN","Scholarships, Student Financial Aid Services, Awards","$6,575,161"
3164,,"MEMPHIS, TN",Alumni Associations,
3165,,"BARTLETT, TN",Specialized Education Institutions,
3166,,"CLARKSVILLE, TN",Parent/Teacher Group,
3167,,"MURFREESBORO, TN",Alliance/Advocacy Organizations,
3168,,"MURFREESBORO, TN",Educational Services and Schools - Other,
3169,,"WHITE HOUSE, TN","Secondary, High School",
3170,,"WOODBURY, TN",Alumni Associations,
3171,,"NASHVILLE, TN",Educational Services and Schools - Other,
3172,,"CORDOVA, TN","Adult, Continuing Education",
3173,,"KINGSTON, TN",Parent/Teacher Group,
3174,,"COLLIERVILLE, TN",Education N.E.C.,
3175,,"MILAN, TN",Single Organization Support,
3176,,"BRENTWOOD, TN","Scholarships, Student Financial Aid Services, Awards",
3177,,"KNOXVILLE, TN",Parent/Teacher Group,
3178,,"CHATTANOOGA, TN",Alliance/Advocacy Organizations,"$350,904"
3179,,"MILLINGTON, TN",Parent/Teacher Group,
3180,,"MEMPHIS, TN",Alumni Associations,
3181,,"MCMINNVILLE, TN",Educational Services and Schools - Other,
3182,,"MUNFORD, TN",Parent/Teacher Group,
3183,,"NASHVILLE, TN",Educational Services and Schools - Other,
3184,,"SIGNAL MTN, TN",Educational Services and Schools - Other,"$743,411"
3185,,"MT PLEASANT, TN",Parent/Teacher Group,
3186,,"KNOXVILLE, TN",Fund Raising and/or Fund Distribution,
3187,,"MOUNT JULIET, TN",Parent/Teacher Group,"$46,281"
3188,,"CORDOVA, TN",Single Organization Support,
3189,,"MUNFORD, TN",Parent/Teacher Group,
3190,,"MURFREESBORO, TN",Educational Services and Schools - Other,
3191,,"MASON, TN","Student Services, Organizations of Students",
3192,,"HENDERSONVLLE, TN",Parent/Teacher Group,"$74,313"
3193,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
3194,,"NASHVILLE, TN",Alliance/Advocacy Organizations,
3195,,"NASHVILLE, TN",Education N.E.C.,"$393,947"
3196,,"NASHVILLE, TN",Alumni Associations,
3197,,"NASHVILLE, TN","Student Services, Organizations of Students",
3198,,"NASHVILLE, TN",Alliance/Advocacy Organizations,
3199,,"NASHVILLE, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$294,710"
3200,,"NASHVILLE, TN","Remedial Reading, Reading Encouragement","$95,820"
3201,,"NASHVILLE, TN",Educational Services and Schools - Other,"$1,094,967"
3202,,"NASHVILLE, TN",Educational Services and Schools - Other,"$871,133"
3203,,"CORDOVA, TN","Professional Societies, Associations",
3204,,"KNOXVILLE, TN",Nonmonetary Support N.E.C.,
3205,,"MEMPHIS, TN","Kindergarten, Preschool, Nursery School, Early Admissions",
3206,,"MEMPHIS, TN",Parent/Teacher Group,
3207,,"BOLIVAR, TN","Scholarships, Student Financial Aid Services, Awards",
3208,,"MADISON, TN",Single Organization Support,
3209,,"JOHNSON CITY, TN",Educational Services and Schools - Other,
3210,,"MEMPHIS, TN",Education N.E.C.,
3211,,"MEMPHIS, TN",Educational Services and Schools - Other,
3212,,"FAYETTEVILLE, TN",Educational Services and Schools - Other,"$101,843"
3213,,"MANCHESTER, TN",Parent/Teacher Group,
3214,,"MEMPHIS, TN",Education N.E.C.,"$5,500"
3215,,"MEMPHIS, TN","Adult, Continuing Education","$72,775"
3216,,"NASHVILLE, TN",Education N.E.C.,"$1,202,615"
3217,,"GREENEVILLE, TN","Kindergarten, Preschool, Nursery School, Early Admissions",
3218,,"MOUNT JULIET, TN",Educational Services and Schools - Other,
3219,,"SIGNAL MTN, TN",Parent/Teacher Group,"$53,136"
3220,,"MEMPHIS, TN",Educational Services and Schools - Other,
3221,,"CHATTANOOGA, TN",Fund Raising and/or Fund Distribution,"$148,442"
3222,,"CLARKSVILLE, TN",Educational Services and Schools - Other,
3223,,"ELIZABETHTON, TN",Educational Services and Schools - Other,
3224,,"OAK RIDGE, TN",Single Organization Support,"$41,666"
3225,,"OAK RIDGE, TN",Parent/Teacher Group,
3226,,"OAK RIDGE, TN","Adult, Continuing Education (B64Z)",
3227,,"MEMPHIS, TN",Management & Technical Assistance,"$4,272,484"
3228,,"CLARKSVILLE, TN",Parent/Teacher Group,
3229,,"MURFREESBORO, TN",Single Organization Support,"$95,247"
3230,,"DICKSON, TN",Parent/Teacher Group,
3231,,"CHATTANOOGA, TN",Education N.E.C.,
3232,,"CHATTANOOGA, TN","Scholarships, Student Financial Aid Services, Awards",
3233,,"OOLTEWAH, TN",Fund Raising and/or Fund Distribution,
3234,,"MURFREESBORO, TN",Parent/Teacher Group,"$86,719"
3235,,"LIVINGSTON, TN",Single Organization Support,
3236,,"FRANKLIN, TN","Scholarships, Student Financial Aid Services, Awards","$99,599"
3237,,"MOUNT JULIET, TN",Single Organization Support,
3238,,"GREENBRIER, TN",Single Organization Support,
3239,,"FRANKLIN, TN",Single Organization Support,
3240,,"COLLIERVILLE, TN",Single Organization Support,
3241,,"CORDOVA, TN",Single Organization Support,
3242,,"NASHVILLE, TN",Single Organization Support,
3243,,"CLARKSVILLE, TN","Secondary, High School",
3244,,"NOLENSVILLE, TN",Parent/Teacher Group,"$82,963"
3245,,"CLARKSVILLE, TN",Single Organization Support,
3246,,"NOLENSVILLE, TN",Parent/Teacher Group,"$141,158"
3247,,"PARSONS, TN",Educational Services and Schools - Other,"$664,529"
3248,,"CLARKSVILLE, TN",Fund Raising and/or Fund Distribution,
3249,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
3250,,"NASHVILLE, TN",Educational Services and Schools - Other,
3251,,"COLLIERVILLE, TN",Education N.E.C.,
3252,,"TRENTON, TN",Alumni Associations,
3253,,"MILLINGTON, TN","Kindergarten, Preschool, Nursery School, Early Admissions",
3254,,"NASHVILLE, TN","Elementary, Secondary Education, K - 12","$159,675"
3255,,"MOUNT JULIET, TN","Scholarships, Student Financial Aid Services, Awards",
3256,,"PEGRAM, TN",Single Organization Support,
3257,,"KNOXVILLE, TN",Alumni Associations,
3258,,"SEWANEE, TN","Student Sororities, Fraternities",$121
3259,,"PIGEON FORGE, TN",Single Organization Support,
3260,,"NASHVILLE, TN",Education N.E.C.,
3261,,"CROSSVILLE, TN","Adult, Continuing Education",
3262,,"PLEASANT VIEW, TN",Parent/Teacher Group,
3263,,"PORTLAND, TN",Single Organization Support,
3264,,"BRENTWOOD, TN","Elementary, Secondary Education, K - 12",
3265,,"CLARKSVILLE, TN","Primary, Elementary Schools","$690,650"
3266,,"DICKSON, TN","Scholarships, Student Financial Aid Services, Awards",
3267,,"COOKEVILLE, TN",Parent/Teacher Group,
3268,,"MEMPHIS, TN","Adult, Continuing Education",
3269,,"NASHVILLE, TN",Educational Services and Schools - Other,
3270,,"MEMPHIS, TN","Primary, Elementary Schools","$6,059,655"
3271,,"MURFREESBORO, TN","Adult, Continuing Education",
3272,,"MOUNT JULIET, TN",Education N.E.C.,
3273,,"SODDY DAISY, TN",Parent/Teacher Group,
3274,,"SPRING HILL, TN",Parent/Teacher Group,
3275,,"CHATTANOOGA, TN",Parent/Teacher Group,
3276,,"SODDY DAISY, TN",Parent/Teacher Group,
3277,,"MILLINGTON, TN",Parent/Teacher Group,
3278,,"MURFREESBORO, TN","Student Services, Organizations of Students",
3279,,"COLUMBIA, TN",Nonmonetary Support N.E.C.,
3280,,"WINCHESTER, TN","Remedial Reading, Reading Encouragement",
3281,,"FRANKLIN, TN",Alliance/Advocacy Organizations,
3282,,"DYERSBURG, TN",Alliance/Advocacy Organizations,
3283,,"TULLAHOMA, TN",Education N.E.C.,
3284,,"MEMPHIS, TN",Educational Services and Schools - Other,"$318,276"
3285,,"MEMPHIS, TN",Educational Services and Schools - Other,
3286,,"CHATTANOOGA, TN","Elementary, Secondary Education, K - 12",
3287,,"SMYRNA, TN",Educational Services and Schools - Other,
3288,,"KNOXVILLE, TN",Undergraduate College (4-year),"$54,804,708"
3289,,"FRANKLIN, TN",Single Organization Support,
3290,,"GALLATIN, TN",Education N.E.C.,
3291,,"CHATTANOOGA, TN","Primary, Elementary Schools",
3292,,"NASHVILLE, TN",Educational Services and Schools - Other,
3293,,"ARLINGTON, TN","Scholarships, Student Financial Aid Services, Awards","$151,860"
3294,,"MEMPHIS, TN",Undergraduate College (4-year),"$109,419,730"
3295,,"MEMPHIS, TN","Scholarships, Student Financial Aid Services, Awards","$747,982"
3296,,"MEMPHIS, TN",Specialized Education Institutions,
3297,,"GERMANTOWN, TN",Parent/Teacher Group,"$48,696"
3298,,"MORRISTOWN, TN",Nonmonetary Support N.E.C.,"$66,744"
3299,,"ERWIN, TN",Parent/Teacher Group,
3300,,"NASHVILLE, TN","Student Services, Organizations of Students","$2,084,555"
3301,,"ROCKVALE, TN",Fund Raising and/or Fund Distribution,
3302,,"KNOXVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
3303,,"BELL BUCKLE, TN",Education N.E.C.,
3304,,"NASHVILLE, TN",Parent/Teacher Group,
3305,,"ROSSVILLE, TN","Elementary, Secondary Education, K - 12","$3,907,647"
3306,,"KNOXVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
3307,,"HERMITAGE, TN",Fund Raising and/or Fund Distribution,
3308,,"GALLATIN, TN",Parent/Teacher Group,
3309,,"TROY, TN",Fund Raising and/or Fund Distribution,
3310,,"STRAW PLAINS, TN",Parent/Teacher Group,
3311,,"NASHVILLE, TN","Primary, Elementary Schools","$887,262"
3312,,"SHELBYVILLE, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$172,653"
3313,,"SUMMERTOWN, TN",Libraries,
3314,,"KNOXVILLE, TN",Parent/Teacher Group,
3315,,"KNOXVILLE, TN",Educational Services and Schools - Other,
3316,,"NASHVILLE, TN",Fund Raising and/or Fund Distribution,
3317,,"BRUSH CREEK, TN",Single Organization Support,
3318,,"JOHNSON CITY, TN",Single Organization Support,"$98,950"
3319,,"OAK RIDGE, TN",Education N.E.C.,
3320,,"MEMPHIS, TN","Remedial Reading, Reading Encouragement",
3321,,"NASHVILLE, TN",Educational Services and Schools - Other,
3322,,"DUNLAP, TN",Single Organization Support,"$30,053"
3323,,"KNOXVILLE, TN",Single Organization Support,
3324,,"KIMBERLIN HGT, TN","Student Services, Organizations of Students",
3325,,"SEVIERVILLE, TN",Fund Raising and/or Fund Distribution,"$315,700"
3326,,"SEWANEE, TN",Parent/Teacher Group,"$67,435"
3327,,"KNOXVILLE, TN",Single Organization Support,
3328,,"KNOXVILLE, TN","Adult, Continuing Education",
3329,,"SPRINGFIELD, TN",Parent/Teacher Group,"$122,348"
3330,,"MURFREESBORO, TN",Single Organization Support,
3331,,"GERMANTOWN, TN","Student Sororities, Fraternities",
3332,,"GERMANTOWN, TN","Student Sororities, Fraternities",
3333,,"SIGNAL MTN, TN","Elementary, Secondary Education, K - 12","$770,344"
3334,,"SIGNAL MTN, TN",Single Organization Support,"$97,364"
3335,,"JACKSON, TN",Education N.E.C.,
3336,,"MEMPHIS, TN",Education N.E.C.,"$1,749,419"
3337,,"MEMPHIS, TN",Educational Services and Schools - Other,
3338,,"CARTHAGE, TN",Education N.E.C.,
3339,,"MARYVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
3340,,"MOUNT JULIET, TN",Education N.E.C.,
3341,,"CHATTANOOGA, TN",Fund Raising and/or Fund Distribution,
3342,,"MT JULIET, TN",Educational Services and Schools - Other,
3343,,"FRANKLIN, TN",Single Organization Support,
3344,,"LAWRENCEBURG, TN",Single Organization Support,
3345,,"KNOXVILLE, TN",Single Organization Support,
3346,,"S PITTSBURG, TN",Parent/Teacher Group,
3347,,"NASHVILLE, TN",Alumni Associations,"$33,311"
3348,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12 (B29)","$4,933,574"
3349,,"SEWANEE, TN","Student Services, Organizations of Students",
3350,,"CLARKSVILLE, TN",Single Organization Support,
3351,,"OLD FORT, TN",Parent/Teacher Group,
3352,,"SPRING CITY, TN",Parent/Teacher Group,
3353,,"SPRINGFIELD, TN",Parent/Teacher Group,"$29,935"
3354,,"BRENTWOOD, TN",Education N.E.C.,"$21,247"
3355,,"MURFREESBORO, TN",Educational Services and Schools - Other,"$524,094"
3356,,"DOVER, TN","Student Services, Organizations of Students",
3357,,"NASHVILLE, TN",Single Organization Support,
3358,,"KINGSPORT, TN",Education N.E.C.,"$183,059"
3359,,"SPRING HILL, TN","Professional Societies, Associations",
3360,,"BLUFF CITY, TN",Parent/Teacher Group,"$47,177"
3361,,"GALLATIN, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$2,478,487"
3362,,"KNOXVILLE, TN",Specialized Education Institutions,
3363,,"KNOXVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
3364,,"COOKEVILLE, TN",Parent/Teacher Group,
3365,,"PLEASANT VIEW, TN",Parent/Teacher Group,
3366,,"MEMPHIS, TN","Student Services, Organizations of Students",
3367,,"WINCHESTER, TN","Scholarships, Student Financial Aid Services, Awards",
3368,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
3369,,"NASHVILLE, TN",Educational Services and Schools - Other,
3370,,"SPARTA, TN","Student Services, Organizations of Students",
3371,,"LOUISVILLE, TN",Educational Services and Schools - Other,
3372,,"JOHNSON CITY, TN",Education N.E.C.,
3373,,"OAK RIDGE, TN",Educational Services and Schools - Other,
3374,,"LA VERGNE, TN","Professional Societies, Associations",$600
3375,,"MEMPHIS, TN",Research Institutes and/or Public Policy Analysis,
3376,,"BELFAST, TN","Professional Societies, Associations","$133,000"
3377,,"CHATTANOOGA, TN","Elementary, Secondary Education, K - 12","$471,611"
3378,,"CLINTON, TN","Adult, Continuing Education","$1,400"
3379,,"SPRINGFIELD, TN","Professional Societies, Associations",
3380,,"MEMPHIS, TN","Primary, Elementary Schools","$519,602"
3381,,"KNOXVILLE, TN","Student Services, Organizations of Students",
3382,,"KNOXVILLE, TN","Professional Societies, Associations",
3383,,"NASHVILLE, TN",Education N.E.C.,
3384,,"FRANKLIN, TN",Educational Services and Schools - Other,
3385,,"MURFRESBORO, TN","Adult, Continuing Education",
3386,,"FRANKLIN, TN","Scholarships, Student Financial Aid Services, Awards","$41,197"
3387,,"NASHVILLE, TN",Educational Services and Schools - Other,
3388,,"NASHVILLE, TN","Professional Societies, Associations","$908,249"
